"Carimbo de data/hora","A interface do ENADEBOT é fácil de usar.","Consegui navegar entre as seções sem dificuldade.","O sistema funciona bem no dispositivo que utilizei (celular ou computador).","As questões apresentadas são relevantes para o ENADE em ADS.","As explicações geradas pelo tutor após as questões foram claras e úteis.","O nível de dificuldade das questões é adequado para minha preparação.","O ENADEBOT me ajudou a identificar lacunas no meu conhecimento.","Após usar o sistema, senti mais motivação para estudar para o ENADE.","Recomendaria o ENADEBOT a outros estudantes de ADS.","Qual foi o maior problema técnico ou de usabilidade que você encontrou?","Qual funcionalidade você mais gostou? Por quê?","Que melhoria mais importante você sugere para a próxima versão?"
"2026/06/08 11:32:21 AM GMT-3","4","3","3","3","4","3","4","4","4","As vezes o chatbot trava e mostra que está gerando uma resposta por > 3min ou não gera. Algumas partes, principalmente no mobile, a tela fica um pouco bugada esteticamente, mesmo que continua com suas funcionalidades. ","Explicação da IA, pois isso ajuda a compreender melhor a questão e sua resposta. ","Questões mais elaboradas, parecidas com as do ENADE mesmo."
"2026/06/08 2:42:56 PM GMT-3","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","1 - Discordo totalmente","Nao carrgou","Questao","Tirar tutor"
"2026/06/08 2:45:16 PM GMT-3","4","3","3","4","4","4","4","3","3","Demora da resposta da ia","Sistemas de streak","Menor tempo de resposta"
"2026/06/08 2:46:50 PM GMT-3","3","3","3","3","3","3","3","3","3","O chat bot ser junto das questões","As questões por matéria",""
"2026/06/08 2:47:52 PM GMT-3","5 - Concordo totalmente","1 - Discordo totalmente","4","3","1 - Discordo totalmente","4","4","3","4","Não achei legal porque quando você responde o formulário a página desce lá pra
baixo, e depois você tem que ficar subindo pra cima, muito chato essa parte, seria mais
interessante ser separado o bot e o questionário.","Sistema de streak","O tudor demora muito tempo para dar a explicação, irritante essa parte, kleva muito
tempo do usuário."
"2026/06/08 2:48:16 PM GMT-3","5 - Concordo totalmente","3","4","4","3","4","3","2","3","Quando vc responde algumas questões que não aparecem o botão de passar ","O chat","Tira o chat na hora de responder as questões o melhorar pra ele fique a lado das questões quando estamos realizando as questões "
"2026/06/08 2:49:09 PM GMT-3","4","5 - Concordo totalmente","4","4","2","3","2","3","3","tutor não demora muito ou da respostas erradas","a ideia de explicar a questão depois que envia é bem legal.","Mesmo tutor estar mais avançado, ainda acho que precisa de melhorias. Muitos erros de respostas."
"2026/06/08 2:49:31 PM GMT-3","4","3","5 - Concordo totalmente","4","3","4","4","4","4","A demora do tutor on-line","O sistemas de perguntas, podendo escolher matérias específicas para estudos","Queria questões parecidas com a prova mesmo, que na prova as perguntas são mais desenvolvidas, e tem perguntas dissertativas "
"2026/06/08 2:52:36 PM GMT-3","5 - Concordo totalmente","5 - Concordo totalmente","4","4","5 - Concordo totalmente","4","5 - Concordo totalmente","4","4","Delay nas respostas, tutor na mesma tela que o questionário.","Achei as explicações da IA interessantes, fáceis de entender.","Acho que as explicações poderiam conter mais exemplos."
"2026/06/08 2:54:58 PM GMT-3","3","4","4","3","3","3","3","3","1 - Discordo totalmente","","",""
"2026/06/08 2:55:11 PM GMT-3","4","4","4","2","4","3","4","2","2","Acredito que seria melhor deixar o chatbot em outra aba, ou se o intuito for o estudante utilizar o chat para aquela questão, que pelo menos não deixe o histórico à vista.","Explicações da IA","Utilizar questões do ENADE de verdade."
"2026/06/08 2:58:06 PM GMT-3","4","4","5 - Concordo totalmente","4","4","5 - Concordo totalmente","4","4","4","Algumas funcionalidades levam certo tempo para serem executadas","As explicações formadas pela IA","Melhores otimizações das funcionalidades"
"2026/06/08 2:58:32 PM GMT-3","4","5 - Concordo totalmente","5 - Concordo totalmente","4","1 - Discordo totalmente","3","5 - Concordo totalmente","4","4","A demora para retornar a explicação da resposta escolhida.","Achei em geral o sistema muito legal e fácil de usar, gostei bastante do chatbot que facilita caso tenha alguma dúvida. ","Melhorar tempo de retorno da explicação da resposta."
"2026/06/08 2:59:04 PM GMT-3","4","3","4","4","4","4","3","4","4","O chatbot ficar na mesma tela das perguntas atrapalha na utilização do sistema","A das respostas do chatbot","Separar as perguntas da mesma tela do chatbot"
